source_department_name,normalized_department_name
"Sonstige Fachabteilung","Sonstige Fachabteilung"
"Sonstige Fachabteilung/ohne Differenzierung nach Schwerpunkten (II)","Sonstige Fachabteilung"
"Sonstige Fachabteilung/ohne Differenzierung nach Schwerpunkten (III)","Sonstige Fachabteilung"
"Sonstige Fachabteilung/ohne Differenzierung nach Schwerpunkten (IV)","Sonstige Fachabteilung"
"Sonstige Fachabteilung/ohne Differenzierung nach Schwerpunkten (IX)","Sonstige Fachabteilung"
"Sonstige Fachabteilung/ohne Differenzierung nach Schwerpunkten (V)","Sonstige Fachabteilung"
"Strahlenheilkunde","Strahlenheilkunde"
"Strahlenheilkunde/Schwerpunkt Hämatologie und internistische Onkologie","Strahlenheilkunde"
"Strahlenheilkunde/Schwerpunkt Radiologie","Strahlenheilkunde"
"Strahlenheilkunde/ohne Differenzierung nach Schwerpunkten (II)","Strahlenheilkunde"
"Strahlenheilkunde/ohne Differenzierung nach Schwerpunkten (III)","Strahlenheilkunde"
"Suchtmedizin","Suchtmedizin"
"Thoraxchirurgie","Thoraxchirurgie"
"Thoraxchirurgie/Schwerpunkt Herzchirurgie","Thoraxchirurgie"
"Thoraxchirurgie/ohne Differenzierung nach Schwerpunkten (II)","Thoraxchirurgie"
"Unfallchirurgie","Unfallchirurgie"
"Unfallchirurgie/ohne Differenzierung nach Schwerpunkten (II)","Unfallchirurgie"
"Unfallchirurgie/ohne Differenzierung nach Schwerpunkten (III)","Unfallchirurgie"
"Unfallchirurgie/ohne Differenzierung nach Schwerpunkten (IV)","Unfallchirurgie"
"Urologie","Urologie"
"Urologie/ohne Differenzierung nach Schwerpunkten (II)","Urologie"
"Urologie/ohne Differenzierung nach Schwerpunkten (III)","Urologie"
"Visceralchirurgie","Viszeralchirurgie"
"Weaningeinheit","Intensivmedizin"
"Wirbelsäulenchirurgie","Wirbelsäulenchirurgie"
"Zahn- und Kieferheilkunde, Mund- und Kieferchirurgie","Zahnmedizin"
"Zahn- und Kieferheilkunde, Mund- und Kieferchirurgie/ohne Differenzierung nach Schwerpunkten (II)","Zahnmedizin"
